2016-10-12 14:50:35,431 [Worker-184] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: FourteenerJPA:FourteenerJPA:0.0.1-SNAPSHOT @ /Users/stevenadams/SD/JQuery/Fourteener/FourteenerJPA/pom.xml.
2016-10-12 14:50:36,721 [Worker-178] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 14:50:36,737 [Worker-178] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-10-12 14:50:36,769 [Worker-178] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 14:50:36,770 [Worker-178] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerJPA/src/test/resources
2016-10-12 14:50:36,805 [Worker-184] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FourteenerJPA/src
2016-10-12 14:50:36,806 [Worker-184] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /FourteenerJPA/src overlaps with sources folder /FourteenerJPA/src
2016-10-12 14:50:36,808 [Worker-184] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /FourteenerJPA/src/test/java because it overlaps with /FourteenerJPA/src
2016-10-12 14:50:37,006 [Worker-184] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-10-12 14:50:37,520 [Worker-184] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: FourteenerJPA:FourteenerJPA:0.0.1-SNAPSHOT @ /Users/stevenadams/SD/JQuery/Fourteener/FourteenerJPA/pom.xml.
2016-10-12 14:50:37,914 [Worker-184] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FourteenerJPA/src
2016-10-12 14:50:37,915 [Worker-184] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /FourteenerJPA/src overlaps with sources folder /FourteenerJPA/src
2016-10-12 14:50:37,963 [Worker-184] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /FourteenerJPA/src/test/java because it overlaps with /FourteenerJPA/src
